Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\CarvedRock.Api.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 8.0.0,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\CarvedRock.Api.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\CarvedRock.Api.csproj,,,Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore 8.0.0,,,,,"Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore, and replace with new package Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\CarvedRock.Api.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 8.0.1,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 8.0.1  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\CarvedRock.Api.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\SwaggerHelpers.cs,25,12,T:System.Uri,,,,,"options.AddSecurityDefinition(""oauth2"", new OpenApiSecurityScheme              {                  Type = SecuritySchemeType.OAuth2,                  Flows = new OpenApiOAuthFlows                  {                      AuthorizationCode = new OpenApiOAuthFlow                      {                          AuthorizationUrl = new Uri(disco.AuthorizeEndpoint!),                          TokenUrl = new Uri(disco.TokenEndpoint!),                          Scopes = oauthScopes                      }                  }              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\SwaggerHelpers.cs,25,12,M:System.Uri.#ctor(System.String),,,,,"options.AddSecurityDefinition(""oauth2"", new OpenApiSecurityScheme              {                  Type = SecuritySchemeType.OAuth2,                  Flows = new OpenApiOAuthFlows                  {                      AuthorizationCode = new OpenApiOAuthFlow                      {                          AuthorizationUrl = new Uri(disco.AuthorizeEndpoint!),                          TokenUrl = new Uri(disco.TokenEndpoint!),                          Scopes = oauthScopes                      }                  }              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\SwaggerHelpers.cs,25,12,T:System.Uri,,,,,"options.AddSecurityDefinition(""oauth2"", new OpenApiSecurityScheme              {                  Type = SecuritySchemeType.OAuth2,                  Flows = new OpenApiOAuthFlows                  {                      AuthorizationCode = new OpenApiOAuthFlow                      {                          AuthorizationUrl = new Uri(disco.AuthorizeEndpoint!),                          TokenUrl = new Uri(disco.TokenEndpoint!),                          Scopes = oauthScopes                      }                  }              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\SwaggerHelpers.cs,25,12,T:System.Uri,,,,,"options.AddSecurityDefinition(""oauth2"", new OpenApiSecurityScheme              {                  Type = SecuritySchemeType.OAuth2,                  Flows = new OpenApiOAuthFlows                  {                      AuthorizationCode = new OpenApiOAuthFlow                      {                          AuthorizationUrl = new Uri(disco.AuthorizeEndpoint!),                          TokenUrl = new Uri(disco.TokenEndpoint!),                          Scopes = oauthScopes                      }                  }              });"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\SwaggerHelpers.cs,25,12,M:System.Uri.#ctor(System.String),,,,,"options.AddSecurityDefinition(""oauth2"", new OpenApiSecurityScheme              {                  Type = SecuritySchemeType.OAuth2,                  Flows = new OpenApiOAuthFlows                  {                      AuthorizationCode = new OpenApiOAuthFlow                      {                          AuthorizationUrl = new Uri(disco.AuthorizeEndpoint!),                          TokenUrl = new Uri(disco.TokenEndpoint!),                          Scopes = oauthScopes                      }                  }              });"
